from_id,to_id,relationship_type
0,1,HAS_CHAPTER
0,2,HAS_CHAPTER
0,3,HAS_CHAPTER
0,4,HAS_CHAPTER
0,5,HAS_CHAPTER
0,6,HAS_CHAPTER
0,7,HAS_CHAPTER
0,8,HAS_CHAPTER
0,9,HAS_CHAPTER
0,10,HAS_CHAPTER
1,11,HAS_SUBSECTION
1,12,HAS_SUBSECTION
1,13,HAS_SUBSECTION
1,14,HAS_SUBSECTION
1,15,HAS_SUBSECTION
1,16,HAS_SUBSECTION
1,17,HAS_SUBSECTION
1,18,HAS_SUBSECTION
10,19,HAS_SUBSECTION
2,20,HAS_SUBSECTION
2,21,HAS_SUBSECTION
2,22,HAS_SUBSECTION
2,23,HAS_SUBSECTION
2,24,HAS_SUBSECTION
2,25,HAS_SUBSECTION
2,26,HAS_SUBSECTION
2,27,HAS_SUBSECTION
2,28,HAS_SUBSECTION
2,29,HAS_SUBSECTION
2,30,HAS_SUBSECTION
2,31,HAS_SUBSECTION
2,32,HAS_SUBSECTION
2,33,HAS_SUBSECTION
2,34,HAS_SUBSECTION
2,35,HAS_SUBSECTION
2,36,HAS_SUBSECTION
2,37,HAS_SUBSECTION
2,38,HAS_SUBSECTION
2,39,HAS_SUBSECTION
2,40,HAS_SUBSECTION
2,41,HAS_SUBSECTION
2,42,HAS_SUBSECTION
2,43,HAS_SUBSECTION
2,44,HAS_SUBSECTION
2,45,HAS_SUBSECTION
2,46,HAS_SUBSECTION
2,47,HAS_SUBSECTION
2,48,HAS_SUBSECTION
2,49,HAS_SUBSECTION
2,50,HAS_SUBSECTION
3,51,HAS_SUBSECTION
3,52,HAS_SUBSECTION
3,53,HAS_SUBSECTION
3,54,HAS_SUBSECTION
3,55,HAS_SUBSECTION
3,56,HAS_SUBSECTION
3,57,HAS_SUBSECTION
3,58,HAS_SUBSECTION
3,59,HAS_SUBSECTION
3,60,HAS_SUBSECTION
3,61,HAS_SUBSECTION
3,62,HAS_SUBSECTION
3,63,HAS_SUBSECTION
3,64,HAS_SUBSECTION
3,65,HAS_SUBSECTION
3,66,HAS_SUBSECTION
3,67,HAS_SUBSECTION
3,68,HAS_SUBSECTION
3,69,HAS_SUBSECTION
3,70,HAS_SUBSECTION
3,71,HAS_SUBSECTION
3,72,HAS_SUBSECTION
3,73,HAS_SUBSECTION
3,74,HAS_SUBSECTION
3,75,HAS_SUBSECTION
3,76,HAS_SUBSECTION
3,77,HAS_SUBSECTION
3,78,HAS_SUBSECTION
3,79,HAS_SUBSECTION
3,80,HAS_SUBSECTION
3,81,HAS_SUBSECTION
3,82,HAS_SUBSECTION
3,83,HAS_SUBSECTION
3,84,HAS_SUBSECTION
3,85,HAS_SUBSECTION
3,86,HAS_SUBSECTION
3,87,HAS_SUBSECTION
3,88,HAS_SUBSECTION
3,89,HAS_SUBSECTION
3,90,HAS_SUBSECTION
3,91,HAS_SUBSECTION
3,92,HAS_SUBSECTION
4,93,HAS_SUBSECTION
4,94,HAS_SUBSECTION
4,95,HAS_SUBSECTION
4,96,HAS_SUBSECTION
4,97,HAS_SUBSECTION
4,98,HAS_SUBSECTION
4,99,HAS_SUBSECTION
4,100,HAS_SUBSECTION
5,101,HAS_SUBSECTION
5,102,HAS_SUBSECTION
5,103,HAS_SUBSECTION
5,104,HAS_SUBSECTION
5,105,HAS_SUBSECTION
5,106,HAS_SUBSECTION
5,107,HAS_SUBSECTION
5,108,HAS_SUBSECTION
5,109,HAS_SUBSECTION
5,110,HAS_SUBSECTION
5,111,HAS_SUBSECTION
6,112,HAS_SUBSECTION
6,113,HAS_SUBSECTION
7,114,HAS_SUBSECTION
7,115,HAS_SUBSECTION
7,116,HAS_SUBSECTION
7,117,HAS_SUBSECTION
7,118,HAS_SUBSECTION
7,119,HAS_SUBSECTION
7,120,HAS_SUBSECTION
8,121,HAS_SUBSECTION
8,122,HAS_SUBSECTION
8,123,HAS_SUBSECTION
8,124,HAS_SUBSECTION
8,125,HAS_SUBSECTION
8,126,HAS_SUBSECTION
8,127,HAS_SUBSECTION
8,128,HAS_SUBSECTION
8,129,HAS_SUBSECTION
8,130,HAS_SUBSECTION
9,131,HAS_SUBSECTION
9,132,HAS_SUBSECTION
9,133,HAS_SUBSECTION
9,134,HAS_SUBSECTION
9,135,HAS_SUBSECTION
9,136,HAS_SUBSECTION
21,137,HAS_EXAMPLE
21,138,HAS_EXAMPLE
22,139,HAS_EXAMPLE
23,140,HAS_EXAMPLE
24,141,HAS_EXAMPLE
26,142,HAS_EXAMPLE
33,143,HAS_EXAMPLE
37,144,HAS_EXAMPLE
38,145,HAS_EXAMPLE
38,146,HAS_EXAMPLE
50,147,HAS_EXAMPLE
50,148,HAS_EXAMPLE
54,149,HAS_EXAMPLE
59,150,HAS_EXAMPLE
59,151,HAS_EXAMPLE
59,152,HAS_EXAMPLE
59,153,HAS_EXAMPLE
60,154,HAS_EXAMPLE
60,155,HAS_EXAMPLE
65,156,HAS_EXAMPLE
65,157,HAS_EXAMPLE
65,158,HAS_EXAMPLE
67,159,HAS_EXAMPLE
68,160,HAS_EXAMPLE
75,161,HAS_EXAMPLE
75,162,HAS_EXAMPLE
75,163,HAS_EXAMPLE
76,164,HAS_EXAMPLE
76,165,HAS_EXAMPLE
79,166,HAS_EXAMPLE
81,167,HAS_EXAMPLE
81,168,HAS_EXAMPLE
81,169,HAS_EXAMPLE
82,170,HAS_EXAMPLE
83,171,HAS_EXAMPLE
84,172,HAS_EXAMPLE
85,173,HAS_EXAMPLE
87,174,HAS_EXAMPLE
87,175,HAS_EXAMPLE
91,176,HAS_EXAMPLE
91,177,HAS_EXAMPLE
91,178,HAS_EXAMPLE
91,179,HAS_EXAMPLE
95,180,HAS_EXAMPLE
96,181,HAS_EXAMPLE
100,182,HAS_EXAMPLE
100,183,HAS_EXAMPLE
100,184,HAS_EXAMPLE
100,185,HAS_EXAMPLE
106,186,HAS_EXAMPLE
106,187,HAS_EXAMPLE
108,188,HAS_EXAMPLE
109,189,HAS_EXAMPLE
109,190,HAS_EXAMPLE
113,191,HAS_EXAMPLE
116,192,HAS_EXAMPLE
116,193,HAS_EXAMPLE
116,194,HAS_EXAMPLE
118,195,HAS_EXAMPLE
123,196,HAS_EXAMPLE
128,197,HAS_EXAMPLE

