from_id,to_id,relationship_type,theme
198,11,HAS_THEME,pricing
198,25,HAS_THEME,pricing
198,26,HAS_THEME,pricing
198,27,HAS_THEME,pricing
198,28,HAS_THEME,pricing
198,29,HAS_THEME,pricing
198,30,HAS_THEME,pricing
198,32,HAS_THEME,pricing
198,56,HAS_THEME,pricing
198,64,HAS_THEME,pricing
198,66,HAS_THEME,pricing
198,67,HAS_THEME,pricing
198,76,HAS_THEME,pricing
198,81,HAS_THEME,pricing
198,101,HAS_THEME,pricing
198,104,HAS_THEME,pricing
198,106,HAS_THEME,pricing
198,109,HAS_THEME,pricing
199,12,HAS_THEME,advertising
199,21,HAS_THEME,advertising
199,22,HAS_THEME,advertising
199,33,HAS_THEME,advertising
199,34,HAS_THEME,advertising
199,35,HAS_THEME,advertising
199,40,HAS_THEME,advertising
199,41,HAS_THEME,advertising
199,63,HAS_THEME,advertising
199,84,HAS_THEME,advertising
199,86,HAS_THEME,advertising
199,87,HAS_THEME,advertising
200,14,HAS_THEME,consumer_protection
200,19,HAS_THEME,consumer_protection
200,51,HAS_THEME,consumer_protection
200,55,HAS_THEME,consumer_protection
200,56,HAS_THEME,consumer_protection
200,57,HAS_THEME,consumer_protection
200,58,HAS_THEME,consumer_protection
200,59,HAS_THEME,consumer_protection
200,64,HAS_THEME,consumer_protection
200,68,HAS_THEME,consumer_protection
200,82,HAS_THEME,consumer_protection
200,88,HAS_THEME,consumer_protection
200,136,HAS_THEME,consumer_protection
201,43,HAS_THEME,enforcement
201,102,HAS_THEME,enforcement
201,119,HAS_THEME,enforcement
201,128,HAS_THEME,enforcement
201,130,HAS_THEME,enforcement
201,131,HAS_THEME,enforcement
201,132,HAS_THEME,enforcement
201,133,HAS_THEME,enforcement
201,134,HAS_THEME,enforcement
201,135,HAS_THEME,enforcement
202,52,HAS_THEME,vulnerable_groups
202,53,HAS_THEME,vulnerable_groups
202,54,HAS_THEME,vulnerable_groups
202,89,HAS_THEME,vulnerable_groups
202,91,HAS_THEME,vulnerable_groups
202,92,HAS_THEME,vulnerable_groups
203,20,HAS_THEME,product_information
203,21,HAS_THEME,product_information
203,33,HAS_THEME,product_information
203,35,HAS_THEME,product_information
203,46,HAS_THEME,product_information
203,47,HAS_THEME,product_information
203,48,HAS_THEME,product_information
203,50,HAS_THEME,product_information
204,17,HAS_THEME,misleading_omissions
204,51,HAS_THEME,misleading_omissions
204,60,HAS_THEME,misleading_omissions
204,62,HAS_THEME,misleading_omissions
204,75,HAS_THEME,misleading_omissions
204,78,HAS_THEME,misleading_omissions
